로플랫카테고리코드,로플랫카테고리명,순위,매장ID,매장명,매장지점명,복합몰ID,복합몰명,복합몰지점명,주소,도로명주소,방문수
060100ff,Coffee Shop,1,443062,스타벅스,월계이마트점,699,이마트,월계점,서울 노원구 월계동 333-1,서울 노원구 마들로3길 15,6304
060100ff,Coffee Shop,2,1067329,스타벅스,안산트레이더스점,,,,경기 안산시 단원구 신길동 1687,경기 안산시 단원구 중앙대로 397,5771
060100ff,Coffee Shop,3,926084,할리스커피,죽전휴게소점,5389,죽전휴게소(서울방향),,경기 용인시 수지구 죽전동 866-2,경기 용인시 수지구 경부고속도로 400,5543
060100ff,Coffee Shop,4,146230,엔제리너스,홈플러스센텀시티점,177,홈플러스,센텀시티점,부산 해운대구 우동 1499,부산 해운대구 센텀동로 6,5542
060100ff,Coffee Shop,5,130600,투썸플레이스,파인애비뉴점,,,,서울 중구 을지로2가 203,서울 중구 을지로 100,5130
060100ff,Coffee Shop,6,3481,스타벅스,아시아선수촌점,,,,서울 송파구 잠실동 175,서울 송파구 백제고분로 69,4754
060100ff,Coffee Shop,7,448116,스타벅스,현대디큐브2F점,,,,서울 구로구 신도림동 692,서울 구로구,4375
060100ff,Coffee Shop,8,142335,스타벅스,연세세브란스점,,,,서울 중구 남대문로5가 84-11,서울 중구 통일로 10,4255
060100ff,Coffee Shop,9,975462,드롭탑,선산휴게소상행점,5641,선산휴게소(양평방향),,경북 구미시 옥성면 대원리 31-6,경북 구미시 옥성면 중부내륙고속도로 128,4197
060100ff,Coffee Shop,10,1031932,스타벅스,동국대일산병원점,,,,경기 고양시 일산동구 식사동 814,경기 고양시 일산동구 동국로 27,4179
060100ff,Coffee Shop,11,3219,스타벅스,역삼포스코점,,,,서울 강남구 역삼동 735-3,서울 강남구 테헤란로 134,4019
060100ff,Coffee Shop,12,3350,스타벅스,은평이마트점,701,이마트,은평점,서울 은평구 응암동 90-1,서울 은평구 은평로 111,3986
060100ff,Coffee Shop,13,142060,스타벅스,잠실대교남단R점,,,,서울 송파구 신천동 7-30,서울 송파구 송파대로 570,3898
060100ff,Coffee Shop,14,143534,이디야,이디야커피랩,,,,서울 강남구 논현동 221-17,서울 강남구 논현로 636,3832
060100ff,Coffee Shop,15,148915,스타벅스,수지이마트점,678,이마트,수지점,경기 용인시 수지구 신봉동 909,경기 용인시 수지구 수지로 203,3751
060100ff,Coffee Shop,16,97716,투썸플레이스,신논현역점,,,,서울 강남구 논현동 200-7,서울 강남구 강남대로 476,3659
060100ff,Coffee Shop,17,152653,엔제리너스,롯데백중동식품관점,333,롯데백화점,중동점,경기 부천시 중동 1140,경기 부천시 길주로 300,3647
060100ff,Coffee Shop,18,1007118,더티드링크,,,,,경기 파주시 문발동 75-6,경기 파주시 지목로 114,3640
060100ff,Coffee Shop,19,113124,탐앤탐스,탐스퀘어 영등포점,,,,서울 영등포구 영등포동4가 55,서울 영등포구 영중로 21,3613
060100ff,Coffee Shop,20,3742,투썸플레이스,순화동점,,,,서울 중구 순화동 53,서울 중구 세종대로7길 37,3577
060100ff,Coffee Shop,21,450044,스타벅스,더종로점,,,,서울 종로구 공평동 70,서울 종로구 종로 51,3528
060100ff,Coffee Shop,22,669668,스타벅스,신림역포도몰점,779,포도몰,,서울 관악구 신림동 1641-2,서울 관악구 신림로 330,3470
060100ff,Coffee Shop,23,1028688,스타벅스,대한상공회의소R,,,,서울 중구 남대문로4가 45,서울 중구 세종대로 39,3444
060100ff,Coffee Shop,24,189225,투썸플레이스,창원귀산점,,,,경남 창원시 성산구 귀곡동 717-5,경남 창원시 성산구 삼귀로 167,3342
060100ff,Coffee Shop,25,150175,스타벅스,구성트레이더스점,49,이마트 트레이더스,구성점,경기 용인시 기흥구 보정동 1019-487,경기 용인시 기흥구 용구대로 2457,3295
060100ff,Coffee Shop,26,666338,스타벅스,현대충청점,252,현대백화점,충청점,충북 청주시 흥덕구 복대동 3380,충북 청주시 흥덕구 직지대로 308,3290
060100ff,Coffee Shop,27,666338,스타벅스,현대충청점,6,현대백화점 U-PLEX,충청점,충북 청주시 흥덕구 복대동 3380,충북 청주시 흥덕구 직지대로 308,3290
060100ff,Coffee Shop,28,479304,스타벅스,송도트리플R점,,,,인천 연수구 송도동 170-1,인천 연수구 송도3동,3256
060100ff,Coffee Shop,29,5339,스타벅스,송파사거리점,,,,서울 송파구 송파동 96-7,서울 송파구 송파대로 386,3200
060100ff,Coffee Shop,30,634948,T카페,이마트트레이더스스타필드하남점,392,스타필드,하남점,경기 하남시 신장동 40,경기 하남시 미사대로 750,3188